ID	Kind	Name	Weight	UnLockLevel	PopTip	Desc	ClassName	sParam1	fParam1	sParam2	fParam2
ID	类型 空：被动触发	名字		解锁等级	事件发生时弹出默认提示 0不开 1开启 	介绍	类名	(天气:s天气类型)  (进攻:进攻富有等级) (妖兽:妖兽种族) (宝物:物品类型lable 权重:ID|ID.)  (角色:数据名字) (秘闻:随机秘闻ID|ID) (路人：行为描述)(动物进攻：种族)	（进攻:强度等级加成(默认等级+系数)）（ 妖兽:持续时间） （宝物:最小品阶 权重:值）(角色:0心情 1modifier) (拜师：数量)(路人：数量)(动物进攻：最少个数)	(路人：附加标记)	（宝物:最大品阶）  （进攻:持续时间秒） （权重:持续时间(天)） （角色：0玩家角色 1所有角色）(路人：类型 1普通2拜师3暂住 10内门强住)(动物进攻：最大个数)
205	Enemy	感染的兔妖	1	5	1	    一群被感染的兔妖出现在附近，它们充满了敌意。	EventAnimalAttack	TYRabbit	3		8
206	Enemy	感染的狼妖	1	5	1	    一群被感染的狼妖出现在附近，它们充满了敌意。	EventAnimalAttack	LYWolf	3		8
207	Enemy	感染的蛇妖	1	5	1	    一群被感染的蛇妖出现在附近，它们充满了敌意。	EventAnimalAttack	SYSnake	3		5
208	Enemy	感染的猪妖	1	5	1	    一群被感染的猪妖出现在附近，它们充满了敌意。	EventAnimalAttack	ZYBoar	3		5
209	Enemy	感染的蛙妖	1	5	1	    一群被感染的蛙妖出现在附近，它们充满了敌意。	EventAnimalAttack	WYFrog	3		5
210	Enemy	感染的龟妖	1	5	1	    一群被感染的龟妖出现在附近，它们充满了敌意。	EventAnimalAttack	GYTurtle	3		5
211	Enemy	感染的熊妖	1	5	1	    一群被感染的熊妖出现在附近，它们充满了敌意。	EventAnimalAttack	XYBear	3		5
201	Enemy	感染的尸傀儡	1	5	1	    一群被感染的尸傀儡出现在附近，它们充满了敌意。	EventAnimalAttack	SPuppet	15		15
212	Enemy	感染的老虎	1	5	1	    一群被感染的老虎出现在附近，它们充满了敌意。	EventAnimalAttack	Tirger	15		15
